week,date,area,obs_counts,exp_counts
0,47860.45833333,3,2,60.11
1,47867.45833333,0,0,0.0
2,47874.45833333,0,0,0.0
3,47881.45833333,0,0,0.0
4,47888.45833333,0,0,0.0
5,47895.45833333,0,0,0.0
6,47902.45833333,0,0,0.0
7,47909.45833333,0,0,0.0
8,47916.45833333,0,0,0.0
9,47923.45833333,0,0,0.0
10,47930.45833333,0,0,0.0
11,47937.45833333,0,0,0.0
12,47944.45833333,0,0,0.0
13,47951.45833333,0,0,0.0
14,47958.45833333,0,0,0.0
15,47965.45833333,0,0,0.0
16,47972.45833333,0,0,0.0
17,47979.45833333,0,0,0.0
18,47986.45833333,0,0,0.0
19,47993.45833333,0,0,0.0
20,48005.97082237,11,11,8060.0
21,48007.45833333,0,0,0.0
22,48014.45833333,0,0,0.0
23,48023.72239228,4,2,0.6
24,48031.63350309,2,2,31.0
25,48035.45833333,0,0,0.0
26,48042.90711524,6,2,8145.3
27,48049.45833333,0,0,0.0
28,48056.45833333,0,0,0.0
29,48063.45833333,0,0,0.0
30,48073.35988877,28,14,1702.0
31,48080.63974997,42,21,2553.0
32,48084.80641667,42,21,2553.0
33,48097.86613897,14,7,851.0
34,48098.45833333,0,0,0.0
35,48106.20086131,20,10,893.2
36,48112.46822245,14,7,851.0
37,48120.27565166,39,33,22646.375
38,48126.55294483,89,73,30138.785000000003
39,48133.45833333,0,0,0.0
40,48141.31822133,18,16,86645.135
41,48151.06336181,37,37,14633.875
42,48154.82169517,19,14,6568.25
43,48165.59113978,6,6,720.0
44,48168.5612787,22,22,2500.1099999999997
45,48176.26822253,2,2,240.0
46,48182.45833333,0,0,0.0
47,48191.70850185,4,4,2880.0
48,48200.12586157,17,17,472.0
49,48204.31752828,32,32,704.0
50,48212.06336166,221,174,3106.800000000001
51,48217.68697284,13,7,956.625
52,48224.45833333,0,0,0.0
53,48234.7689174,14,14,679.1200000000001
54,48238.77725073,23,23,7750.02
55,48251.65572307,20,12,132.0
56,48252.46197307,21,17,667.75
57,48260.72238978,3,3,580.0
58,48267.95918264,1,1,230.0
59,48277.93844054,7,7,3835.25
60,48280.45833333,0,0,0.0
61,48291.09668284,9,9,1272.35
62,48295.05362728,9,9,1102.0
63,48304.58834957,34,34,14018.0
64,48309.16959962,32,30,11666.725
65,48316.5890441,23,23,10934.0
66,48323.59876635,59,59,3056.440000000003
67,48331.50015529,25,19,14591.25
68,48336.5795752,20,18,16178.0
69,48343.54807207,15,15,2946.0
70,48351.16185536,22,22,25374.0
71,48357.83696103,26,17,3246.0
72,48365.3841833,52,38,17404.2199708
73,48371.91196115,29,29,11502.5
74,48378.69668279,1,1,260.0
75,48385.877473989996,48,48,29581.6
76,48394.29325675,34,28,13422.525
77,48399.46547897,73,68,21223.54
78,48406.54603457,40,37,5700.300000000001
79,48414.06997416,54,50,103309.0
80,48420.80645135,28,24,18178.0
81,48427.45923064,34,28,21618.75
82,48434.4631456,58,49,31223.25
83,48441.52860865,68,58,35175.25
84,48449.35755544,56,41,34933.125
85,48455.61686825,88,72,52762.25
86,48462.51569209,51,50,51213.0
87,48469.46270312,80,80,20660.5
